userId,review
50,Clearly this is a half finished anime it has to be because it looks half finished but from all the reviews that's clearly not the case. I never thought that this would be the end of my long search for a good anime because this was truly attrocious. I just don't understand why I bothered but I guess I'll have to keep looking.
51,The point of an anime is to offer a completely different view on the cultures but how this ever became something is beyond even me.Now granted I have never seen the original anime but if this is how it played then I want no part of it. Goodbye Rozen Maiden I won't be writing back. 
52,My review may not be quite as critical as someone who read the manga as I have not yet.  But then judging it as a show is also a worthwhile thing.  It works to compare to manga if it somehow fouls it up bad enough is a poor transition and/or most importantly fails to measure up adequately to the strengths that made the manga worth reading or for that matter any adaption from some literary source to a tv show or movie.  That being said right from the start the series struggles to get off the ground.  It takes way too many liberties as if the viewer had already watched a season or two that was actually connected to season 3 and that is where it really messes things up.  Perhaps because there were already 2 previous seasons this season tries to skip ahead and imply maybe to some degree that it is in fact some sort of continuation of the earlier series though quirky as it maybe with a few events somehow altered.  Obviously few viewers will be fooled by this half hearted sloppy attempt.  First of all things move way too fast.  The entire first season is in a sense compressed into 1 or 1 and a half episodes in short order summary form.  That however is and feels rushed.  The audience is thrown headfirst into the middle of the story without any sort of set up to prepare them.  That is a bit like throwing passengers off a commercial airplane with no parachutes and thus no preparation no emergency to pre-empt the need and no parachute training to ensure they would do it right.  
53,Certainly a very different show from the previous ones. No guarantee you will like this just because you liked them. Rozen Maiden Z (Hah) tracks closer to the manga than the previous shows from what I understand. I never read the manga so I'm evaluating the show purely on its own merits. I enjoyed it as much if not more than the previous adaptation. Bottom line I give it a solid four stars. 
54,This is quite possibly one of the most cruelest adaptations of an anime to date. The Rozen Maiden series was great the story was amazing and the characters very relatable. But this fell short of that in so many ways the stories main focus was on a much different and quite frankly a less relatable older Jun whose main goal in life was whining. The music and general pitch of the series was at an alltime low it made me want to turn down the volume just as opposed to listen to it any further and the animation was just a disaster none of the dolls had noses and Suigintous dress was so black it was like staring into a black void on the sceen. This might be great for everyone else but to me is fell short of all expectations.
55,Normally I steer clear of writing reviews due in part to saving the feelings of others but unfortunately this anime has given me reason for pause. Quite possibly the most ill conceived story in anime history. It's a shame and quite the outrage to the original series which mind you had it's faults. However it was nothing compared to this disaster. There was nothing original if you count the god awful artwork and let's talk about the maturity level of this anime shall we? Aside from the slightly creepy nature of Kiraksuishou and the opening of the episode which showed a barely clothed Hina being stripped as the credit rolls. That alone nearly drove me away from this anime thinking it had catered to the Loli crowd.
56,This was a really cute movie. I'd never watched or read any Doraemon before but I saw this under the list of movies during a flight to Japan and thought I'd give it a go and I was pleasantly surprised.
57,Kinda sucks
58,Russian Frontlines
59,Masterpiece. Same level of quality you would see out of Attack on Titan and My Hero Academia
60,I thought It’d be a failure. ‘Russian anime oh Lord and It’s about the War!’ – that’s what I thought. The Second World War (aka The Great Patriotic War for Russians) is the main theme for lots and lots of movies cartoons TV-series books.. And now they created an anime.
61,I was a bit disappointed after watching First Squad. It's set during WWII and the main protagonist is a Russian girl named Nadya who has the power of seeing the future. This seems like it could lead to something interesting. Nope! First Squad is just under an hour but despite it being relatively short it is still fairly bland and dull.
62,Story
63,Story
64,I like this OVA to put it one way. It was intersting. I liked the stroy and the plot was ok. but the way that the story kept getting interupted to hear a brief story from war vets made the movie feel disjointed and broken. It just felt hard to get into the stroy.
65,Sub-par. You'd be better off watching Hunter x Hunter
66,Masterpiece. Same level of quality you would see out of Attack on Titan and My Hero Academia
67,Gore boobs and lesbian tendancies. oh yes and a whole lot of screaming ICZER-ONE
68,"Students are mysteriously disappearing from a prestigiouschool. It turns out that the boundaries between two worlds are weakening andeveral friends find themselves whisked to the  dream continent  aand torn by conflict between humans elves and beastmen. The story was prettyast-paced in this series; it probably would've been better if it had been givenhe full 26 episodes. But still it was very entertaining with lotsf fantasy action and adventure. "
69,Kinda sucks
70,This anime was almost PERFERCT! I don't why it didn't reach 10... I just felt something was missing or ignored! I don’t know! 
71,Sub-par. You'd be better off watching Hunter x Hunter
72,Wow. I cannot believe I wasted my time on this
73,Warning this Review may and probably will contain spoilers-
74,Definitely a show for the mental perverts. :P
75, 
76,Story 6/10
77,Really underwhelming. Was pretty disappointed
78,Kinda sucks
79,AMAZING!!!! 10/10 everyone watch this right now
80,Sub-par. You'd be better off watching Hunter x Hunter
81,For a video review check out my Youtube channel. Link on my profile page.
82,Shows like these are the reason why I stay in on the weekends
83,This is a spoiler-free review.
84,Pretty good. Has a solid story and solid characters
85,Warning this review may contain spoilers-
86,Pretty good. Has a solid story and solid characters
87,Acchi Kocchi was one of the very first short animes that I've watched and actually loved. I love basically everything about this anime it's very cute and adorable fun characters and the animation was amazing. Though it's a short anime you still have that fun journey with the characters and I admit that I've rewatched this anime quite a few times already ^^
88,SECRET SANTA PARTICIPATION REVIEW
89,Story
90,I'm going to keep this one short and to the point.
91,Sub-par. You'd be better off watching Hunter x Hunter
92,Wow. I cannot believe I wasted my time on this
93,AMAZING!!!! 10/10 everyone watch this right now
94,Really underwhelming. Was pretty disappointed
95,Wow. I cannot believe I wasted my time on this
96,Shows like these are the reason why I stay in on the weekends
97,Kinda sucks
98,Acchi Kocchi Is incredibly fun for the right audience. It is Moe from top to bottom but this only adds to the cuteness this series has to offer.
99,Shows like these are the reason why I stay in on the weekends
100,Shows like these are the reason why I stay in on the weekends
101,This anime is greati love this.Everything is greatthis anime is great to watchthe characters are greatit's sound and everything else.
102,One of my favorites...wait...no...THE FAVORITE to me by Hayao Miyazaki. It just keeps me entertained and still has some lessons from it so my mom approves it too (plus the fact that it's not perverted ;P). 
103,This review has been long awaiting post.  I originally did this review after the film came out in English.  However I've done some editing based on new opinions and watching it many more times.  I believe it's a must to watch a Studio Ghibli film at least twice before reviewing it; you'll get a much better opinion that way (especially if you grew up on them).
104,Great English has Billy Crystal need anything else? .........................................................................................................................................................................................................
105,Me parece que todavia hoy dia los animes en que se tocan temas como la magia y la amistad son animes de exito esta historia en particular me gusto mucho por la simplesa de los dialogos y la exelencia de los dibujos en  exteriores .
106,"This is definitely one of my absolute favorites. I have seen it more than once and will be seeing it many more times. "
107,Really underwhelming. Was pretty disappointed
108,Pretty good. Has a solid story and solid characters
109,My favorite feature film anime!
110,Howl's Moving Castle is a great way to get hooked on anime i mean the story anybody would love it especially girls who love rommance movie. Infact it was my first and i've been hooked ever since i watch it so i recommend you watch Howl's Moving Castle even if your not sure you'll like it but trust me when i say this you'll never want to stop watch this movie or the other Animes.
111,Howl's Moving Castle is a GREAT movie about a young orphan named Sophie she works at a hat shop in which she encounters a wizard named Howl. As they each show each other their friendship Sophie comes across Lettie as Cesari's and walks back into the hat shop and gets hit by the witch of the waste. When she turns old she decides to run away from home and come upon a scarecrow named  Turnip Head . In which he shows her Howl's castle. When she goes inside it she meets a talking fire and a little boy who's practicing his magic in his costume. And the story goes on...
112, 
113,Overview
114,This anime! I wanted to cry so badly! It's so sweet and funny! I just knew I would love it! My mom watched half of it with me but she got too tired. We couldn't stop laughing! Oh! The prince! It must be horrible for your true love not to love you in return! It so sad and sweet and funny. I mean I'm going totally fan-girl here!
115,This is one of my favourite animes based on a book by britsh author Diana Wynne Jones the movie by studio ghibli is one of there best the art work music and excellently chosen story line makes it a great movie. Id recommend it to any anime fan especially if you are yet to see it because its an instant anime classic as are most studio ghibli movies there like japanese disney make fantastic family movies.
116,Just a simple disclaimer before I begin: I understand there is a book tied to this movie. Unfortunately I haven't read it so this review is from that perspective but rest assured I'll be reading the book fairly quickly.
117,Loved the music! A perfect tale for happiness! Watched it six times! All characters are likeable in their own way. And funny too. Could tone down the romance (it's on the verge of cheesy in some parts) and war plot (don't know what it is all about... not mentionned in the novel...). But nevertheless I highly recommend it. Good for an introduction to anime! 
118,I loved it. Not as a story but the drawing the creativity the world this movie took us to is 10/10. As expected from Ghibli's works. 
119,Sub-par. You'd be better off watching Hunter x Hunter
120,Final Fantasy: Unlimited Synopsis Twelve years ago a mysterious pillar of darkness erupted off the coast of Japan. Giant dragon-like beasts emerged from the darkness first wiping out the naval force investigating the disturbance then each other in a spectacular magical battle caught on videotape by a Japanese couple on the mainland. In the present day their twin children live in a largely deserted metropolis where the subway has only one destination:  The Inner World . Following in their parents' footsteps they encounter strange creatures powerful magic-users and of course chocobos. But where have their parents gone ... and what are the motivations behind the joining of the worlds? Review In the last decade Final Fantasy has established itself as the marquee title in the role-playing genre and nearly everyone who has touched a video game system has played at least one incarnation of this game. However a good game series doesn't necessarily translate into instant success in other fields as FF: Legend of the Crystals proved to our eternal dismay. Of course this was followed up by the 3D computer-generated film FF: The Spirits Within whose animation has been praised by many but whose plot hasn't quite proved as worthy of acclaim. So where does FF: Unlimited fit into all this? Well as the franchise's first full-length television series it's not a bad start. The FMV mastery of the Final Fantasy games has translated quite well into the 3D CG animation field and this is in effect from the first minute of this show. Spell and mechanical effects (much of which seem the same when it all comes down to it) are beautifully rendered and wondrous to behold. Unfortunately the traditional 2D cel animation of the characters is nowhere as impressive - while competent it really reflects on this title's intentions as more of a children's show than a show for older FF fans. The style is firmly entrenched in Saturday morning but at least it's better than FF Legend of the Crystals. More rabid FF fans may have to resist the urge to mail-bomb the animators especially when the animation goes from adequate to really bad in certain spots. While the premise is interesting it's evident from the beginning that this is Final Fantasy for the Digimon crowd - rather than dwelling on the mystery of magic and action involving powerful beasts the audience gets to watch the children get into various chocobo shenanigans usually involving the yanking of Ai's pigtails. Adult characters seem to be either glorified babysitters ciphers or weird creepy villains. Not that this is necessarily a bad thing but fans of the more recent FF titles will probably be disappointed. And the action sequences could've used a lot more polish. I really don't think any reasonable creature would just sit there while so-and-so takes fifteen minutes to summon Phoenix or Typhoon ... would you? Not to mention the questionable choice of opponents - after you've shown the audience super-cool dragons and magical trains you can't tease them with the Stay-Puff Mushroom Man. Come on already! At least the spell effects look cool. Still FF: Unlimited has an interesting story peppered with amusing in-jokes like having the famous victory played after the end of a battle and numerous references to the earlier FF games. The characters are likable and cute and the music gets a passing grade. Bonus points for the adorable (if obviously no-budget) end sequence especially if you're a chocobo fan. While I reserve the right to raise my opinion of this show if and when the plot starts kicking in our first look at this title gives us the feeling that perhaps the creators and animators weren't as Unlimited as they thought. Simplistic 2D animation and a kiddified plot may drive off newer FF fans who are more used to Tidus and Yuna (or even Zidane and Garnet) than Palom and Porom. But as a synthesis of classic Final Fantasy and modern monster-show visuals it's worth a further look.
121,Sub-par. You'd be better off watching Hunter x Hunter
122,Final Fantasy Unlimited
123,Sugar Spice and all things nice these were the ingredients chosen to create the Magun the perfect little weapon…well no but I must say ultima weapon is there though. Yes it shows 2 men fighting out across a fantasy world to create peace and chaos whos bad whos good its typical FF and we love it. 
124,Kinda sucks
125,This is nothing new to fans of the Evangelion TV series. While there are instances in which footage from the extra scenes released in Japan was included in Death & Rebirth the scenes were minimal but some of those scenes did lead into a bit more detail into the Evangelion saga. The first part (Death) contained mostly rehashed scenes from the TV series some of which were altered slightly. In one instance the tint of the screen and angle of the footage was altered. It is a shame though. You would think that a movie such as this would have a better budget to allow for some new animation. Well there are some new music clips but many of these weren't even composed by anyone on the Evangelion staff. The classical pieces played throughout the first part are works of Bach and other composers. But after Death we finally recognize the true motive of GAINAX. Death turns out to be nothing more than a time consumer to allow for the showing of Rebirth in theaters in Japan. Rebirth is more of an advertisement than it is a movie in itself. Rebirth shows approximately the first half hour of the Evangelion movie and what a half hour it is. Finally SEELE has turned its back on Ikari Gendou for not adhering to their plans. SEELE sends in commandos to kill all who work in NERV headquarters (and in a violent manner at that). SEELE has also unleashed the rest of the Eva series to fight Asuka. And that's where it ends. While I liked the second part of the movie the obvious objective of the movie really turned me off and prevented me from truly enjoying this anime. This DVD is a must-buy only for the hardened Evangelion fan or just a huge collector of anime DVDs.
126,Critic's Log: Earthdate - May 19 2012. Review #4: Neon Genesis Evangelion: Death and Rebirth
127,Kinda sucks
128,Pretty good. Has a solid story and solid characters
129,Wow. I cannot believe I wasted my time on this
130,Really underwhelming. Was pretty disappointed
131,Shows like these are the reason why I stay in on the weekends
132,every now and then i decide to watch an anime that looks... silly... or child oriented....
133,As someone who enjoys Ragnarok Online most than any MMORPG the animation was a disappointment. The characters were stereotypical and the action uninteresting. Nothing of value from the immersive and special atmosphere of the in-universe transpired in the anime. Watch it if you're a fan of the game (just so you can enjoy more your stay in the game) otherwise take it as it is: a bland marketing device of Gravity to outreach to more potential customers.
134,Players of Ragnarok Online you may be able to add 2 or 3 to the rating I have given just because you'll actually have some understanding of what's going on and you'll find some of the references to the actual game humorous. I myself am a former RO-player so I actually managed to get some enjoyment out of this series. To the rest of you all who know nothing about the game I strongly advise you to find another series to look at. There are two main reasons for this.
135,I'm writing this at episode 35 of the second season. If you've watched many sports anime you won't be surprised by anything plotwise. It feels as though the story is stretched in an attempt to add depth but I'd say that they've failed to do so. The characters still feel one dimensional at this point and the little growth they've shown has taken far too long.
136, The plot
137,ahhhh fairy tail really pulled through. i loved this anime first season but then after the SS class challenge when they were gone for 7 years the anime really went down. it was pretty boring but they picked it back up again with the grand prix for best guild in magnolia. right now its on the tartaros arc and it is AMAZING.after watching and picking up on each characters stories and basically growing with them this arc moves you. i love the music fairy tail displays its very medievel themed with a mix of action. this anime feels like the real deal. any other anime i watch can't fill the empty space that yearns for the next episode in fairy tail
138,This show is the best way i can spend my Sunday. So many characters anybody can relate to But lets be honest we all watch for the Dragon Slayers!!!!!!
139,Like the first part wasn't shitty enoughthey added the worst animation ever.Great job animators for ruining something that is already ruined.
140,I think most people fail to realize is that Fairy Tail is all about the music sound in the moment. The story changes between mediocre to great. If just they added as much love into the fights as they do the sound and music in the fights it would probably become to awesome for anyone to review. Characters don't develop much but they are all original in their own right and they all make an impression giving the story the depth that it desperatly needs.
141,Origanly I was reluctant to watch Fairy Tail but my friend made me and it was amazing. I love the characters and the sory and how they make the characters stories truly makes me cry when they almost die. I highly recomend this anime even if you don't like it at first glance. It had me at the first episode! The music is very nice and I can listen to them all on relpay. Just when you think you know who your favorite character is they give you a tearful story of backround then they're your new favorite. Again this is my #1 anime and you need to at least give it a shot.
142,Oh God. Please kill me with this one. Having to put a short skit of comedic jokes in all episode is just pathetic and annoying. I enjoyed watching the First 178 Episodes of this anime because its really great and its not forced compare to this resurrection of Fairy Tail. Its getting worst.
143,Excellent. Deserves more recognition
144,***This is a spoiler free review***
145,This is my review of Pokemon Diamond and Pearl...
146,AMAZING!!!! 10/10 everyone watch this right now
147,This is part of a series and a series I like. This is worthy. It's had ups (the original) and downs (the original sequel) but overall it is a good series of shows. The meat of the series is supernatural occurences with a side of high school drama and fan service. This one is not much different but it is definitely one of the better ones... actually the best if you do not consider the original which was genius.
148,Excellent. Deserves more recognition
149,"I really enjoyed this short-movie by Studio 4C one of my favorite studio's if it comes to interesting artstyles and stories. "
150,Really underwhelming. Was pretty disappointed
151,Masterpiece. Same level of quality you would see out of Attack on Titan and My Hero Academia
152,"Though it has been some time since watching Escaflowne I remember going into it expecting something decent and being dissapointed. However I must say that once the initial sadness of it being a worthwhile anime wore off I quickly began enjoying the anime as a comedy laughing at the cliche riddled storyline hilariously bad characters(not all of them persay) and the constant weird trips that come on suddenly throughout the series. "
153,Note in mind that I don't fit the appropriate age to have watched this show so be wary of more criticism to come.  
154,Shows like these are the reason why I stay in on the weekends
155,Big massive sword wielding mecha armorsuits - How can this be so dull?
156,To put it quite simply Escaflowne is about a girl named Hitomi who leads a somewhat normal live of Earth but then one day she gets transported to another world that is falling under the shadow of an evil empire and she now discovers that she has the ability to see the future of what will happen in that world.  So it is up to her to as to whether she will use her abilities to help Vaan the young king who just happens to have brought Hitomi to this other world.  What follows is a story of mecha battles fantasy romance and destiny told in such a manner that few series can ever actually achieve and those that do tend to take at the very least twice as long as Escaflowne.  Remembering that this series came out sometime in the 90's it does look a bit aged by today's standards though in all honesty I'm not quite sure that the aged look takes anything away from the series.  Actually in all honesty I actually have a harder time imagining the series with a whole bunch of fancy CGI and whatnot.  I don't the older look of the animation just kind of fits the series.  If that makes any sense.  Anyways moving onto the audio which quite really amazingly done.  I feel in love with the opening the first time I ever heard it and the rest of the soundtrack is about as nice as they come.  Though that being said the ending is probably the only real problem in the sound department.  Overall Escaflowne is one those series that gets it right where it actually counts which is the plot and storytelling.  For anyone who needs a fantasy romance series they'll be hard pressed to find one that does those things as good as Escaflowne does.
157,In one dimension she is a regular school girl in the other she battles with the protagonst to save the planet and avenge a wrongdoing…no this isnt Inuyasha its Vaan a prince who has lost his kingdom and fights to save the world but what mystery's does he and the battle armor escaflowne have. a good upbeat series aimed at anime fans that like a less noir style serious show
158,Shows like these are the reason why I stay in on the weekends
159,Wow. I cannot believe I wasted my time on this
160,AMAZING!!!! 10/10 everyone watch this right now
161,"I encountered the fantasy genre fairly late considering how often I'd steeped myself in fiction during my young life. Escaflowne appeared as the first fantasy anime to flash onto my television.  It forged a powerful introduction: quick-moving action blatant tension and giant mechs I'd never seen on typical Saturday-Morning cartoons. Two emotive impressions I recieved from my early encounter are anticiption and disappointment: the prior from conclusion of one episode and the latter from the show's cancellation. With these two feelings I returned to Escaflowne years later. "
162,Masterpiece. Same level of quality you would see out of Attack on Titan and My Hero Academia
163,Excellent. Deserves more recognition
164,Vision of Escaflowne has something of a name for itself in anime history for being an an attempt to appeal to both shonen and shoujo demographics at the same time. Featuring mechas swordfights explosions stuff burning etc. alongside bishonen male protagonists in a love triangle with the regular everyday girl from another world seems to be a lot of its selling point and as a result it's often fondly remembered as a true anime classic of the 90s.
165,Spoilers (Duh)
166,Kinda sucks
167,To be quite honest despite it only being a one-episode OVA I'm surprised I managed to get through it. My numbers may seem high based on that sentence but I am trying to be fair and consider each aspect individually... It's going to be hard. This was really a waste of time to be honest but I'll try to be fair and unbiased in my review.
168,It's a really peaceful story of a boy with a loving heart. While the previous seaon had some episodes that were supposed to be funny and I hated them this Zoku season had no such annoying episodes. All of them are lovely ones.
169,Wow. I cannot believe I wasted my time on this
170,Sub-par. You'd be better off watching Hunter x Hunter
171,This is a good anime because it has a very good story line to it. I like how the epsiodes flow together even though almost every episode is about a diffierent problem for Natsume. I like the animaion of the characters because some of them have really good detail. I also like the animation of the scenary. I like most of the songs in this anime. I also like the sound of some of the characters voices. The characters in this anime are very good and they all get along together really nicely. I just wish that Natsume was more open though. So over all this is a good anime and it continues the series very well.
172,Last summer I had the chance to watch Natsume Yuujinchou Zoku Natsume Yuujinchous prequel and my verdict was that it was a really charming series with heart and love into it. I also said that i was hooked enough to take a look into it's sequels and that I did.
173,Zoku Natsume Yuujinchou (AKA Natsume’s Book of Friends 2) is the second season of 13 episode supernatural drama anime which is episodic and has aspects of slice of life. The original series was very relaxing to watch and this remains the same it’s peaceful (almost if it weren’t for youkai attacks) but the plot is shallow while retaining the fun lovable character we’ve had before. But how long can an episodic slice-of-life last before it gets stale and proper narrative is needed?
174,Im really confused...I read the bio and  Im lik oh it seems like a twist on the whole 'work life' thing with the whole guy-mistaken-for-girl deal maybe it will have a cute gay ship or something  
175,When I first saw the image for this anime I thought  Hey it looks pretty cool. Kind of cheesy-looking but still kind of cool.  Read the bio got a little more excited. However all signs turned from cool to  meh  within the first episode. 
176,For a video review check out my Youtube channel. Link on my profile page.
177,Rainy Cocoa isn't something to get obsessed over. It's not something where you count down the days and hours 'til the next installment. It's not unlike a real cafe -- you can drop in for a short time semi-regularly if you choose. You can develop a familiarity with the comings and goings of the regulars there even if you forget their names or what they did last week. You aren't really meant to extend your visit too long. It's just a nice and comfortable place to pause before going on with the rest of your day.
178,Masterpiece. Same level of quality you would see out of Attack on Titan and My Hero Academia
179,Really underwhelming. Was pretty disappointed
180,Kinda sucks
181,gay kid
182,"(My opinion everyone) "
183,This review can contain spoilers!
184,Excellent. Deserves more recognition
185,This review will mostly focus on my mixed feelings about changes made from the game.
186,Some Spoilers Ensue:
187,I know a lot of people said they didn't like this Anime but I really enjoyed it. It is a BL anime (Boy love anime) so it is a lot more focused on the characters and the relationships than the story line. Therefore you shouldn't go into this anime expecting a lot of cool fighting or an extremely complex story arc. 
188,This review may contain:
189,Shows like these are the reason why I stay in on the weekends
190,Wow. I cannot believe I wasted my time on this
191,Really underwhelming. Was pretty disappointed
192,Sub-par. You'd be better off watching Hunter x Hunter
193,Kurozuka
194,Kurozuka
195,Wow. I cannot believe I wasted my time on this
196,Really underwhelming. Was pretty disappointed
197,I really liked this anime  it puts u to think a little its a little complicated at the beggining but its really greit Anime Overall 
198,I was really hoping this would all tie together in some kind of awesome non-obvious but clearly plausible and tied-together way like  12 Monkeys  or for a non-time-related example that's an anime with much better fight scenes more badassness characters with development that you feel something for and a plot that all comes together at the end  Hellsing .
199,This series had promise. With the many inexplicable things that go on and are later explained I thought it would be better than this. The idea for the story didn't seem like it was fully developed and could've used some work. Some of the characters seemed too corny or had been done before that it was hard to make it through the 12 episodes. They did great with the animation but I think they could've done a bit better. Overall it just seemed like a disappointment. Even the ending was pretty bad with the explanation for it all. I would only recommend this to people that have nothing else to watch.
200,AMAZING!!!! 10/10 everyone watch this right now
201,This anime I feel didn't constantly focus on story but was great with presenting it and I think the story is pretty unique but might be a hit or miss for some people. I like the animation for the way they drew the characters and tanks. Sound was decent I didn't hear much background noise except for the gun fire and occasional tank missles or explosion noises made by a character at the end of a episod. I really liked the characters in this but I would like a little bit backstory to them. One would be  Why are there children in the military? . Although this more of personal preference each character had a lot of personality to them so I found it enjoyable and I wish there was more than just 1 season of Military! Overall I liked this anime and recommend it for anyone who has time to spare and by that I mean at least 4 minutes to watch a episode although it is not everyone's cup of tea and might not be well-liked by those who want a large amount of story.
202,Shorts are always the things I look forward to in the new season as they do much more in the 4 minutes given if they utilise it properly. For me Military was a great show and was one of the 3 shows i looked forward to during it airing.
203,AMAZING!!!! 10/10 everyone watch this right now
204,This review is a personal opinion and it should be treated as such.
205,I was rather excited for this show after the first season. but unfourtunatly this season has pacing issues and although had a nice little happy ending to it all. there are still a few questions that were left compeltly unanswered from the first season. I Still strongly recommend the first season of the shis show and to watch this season to see some closure but if it wasnt for the first season I would probably not recommend this show/season at all. Music was really good and animation wasnt bad either.
206,Masterpiece. Same level of quality you would see out of Attack on Titan and My Hero Academia
207,Horrible and boring. I don't know how to talk about the plot it is a bunch of senseless ideas. Nobody should watch this anime except somebody who (like me) has a lot of spare time and nothing better to do.
208,While the main story has pleasantly surprised me this has been more of a dissapointment. Yes it was just an OVA not a movie so it's not like I was expecting some kind of twisted plot but let's admit that they could make us see more than !!SPOILER!! Kotori's two large halves of chest stuffed in a naked apron. It's not like I was an avowed objector of ecchi but I don't enjoy it especially when there's more to be expected since it's a show about witches aliens dead-or-die battles and running away from mad scientists so why the heck did I have to look at Hatsuna's bottom half? If you asked me how do I imagine making a script for a special episode of a sci-fi anime after seeing this my answer would be not far from something like the line below:
209,Warning/A few words before the review: This review is made by someone who dislikes very much ecchi and the fanservice that comes with it.
210,Excellent. Deserves more recognition
