name,anime_id,type,episodes,rating,members
Kara no Kyoukai 7: Satsujin Kousatsu (Kou),5205,Movie,1,8.57,95658
Kingdom 2nd Season,17389,TV,39,8.57,31234
Slam Dunk,170,TV,101,8.56,82570
Usagi Drop,10162,TV,11,8.56,194855
Girls und Panzer der Film,18617,Movie,1,8.55,25641
Mob Psycho 100,32182,TV,12,8.55,193716
Nana,877,TV,47,8.55,197256
Baccano!,2251,TV,13,8.54,363215
Mushishi Zoku Shou: Odoro no Michi,24687,Special,1,8.54,34011
Shingeki no Kyojin,16498,TV,25,8.54,896229
Bakuman. 2nd Season,10030,TV,25,8.53,151561
Cross Game,5941,TV,50,8.53,53108
Doukyuusei (Movie),30346,Movie,1,8.53,28864
Evangelion: 2.0 You Can (Not) Advance,3784,Movie,1,8.53,182224
Shinsekai yori,13125,TV,25,8.53,288376
Uchuu Senkan Yamato 2199,12029,OVA,26,8.53,44223
Chihayafuru 2,14397,TV,25,8.52,86074
Fate/Zero,10087,TV,13,8.51,453630
JoJo no Kimyou na Bouken (TV),14719,TV,26,8.51,190197
Mahou Shoujo Madoka★Magica,9756,TV,12,8.51,462974
Nichijou,10165,TV,26,8.52,254436
Psycho-Pass,13601,TV,22,8.50,509109
Barakamon,22789,TV,12,8.50,225927
Diamond no Ace: Second Season,30230,TV,51,8.50,38531
Magi: The Kingdom of Magic,18115,TV,25,8.50,245026
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,11981,Movie,1,8.50,135735
Major: World Series,11917,OVA,2,8.50,13405
Samurai Champloo,205,TV,26,8.50,390076
Shokugeki no Souma: Ni no Sara,32282,TV,13,8.50,185015
Katanagatari,6594,TV,12,8.49,207241
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,11979,Movie,1,8.49,85361
Major S6,7655,TV,25,8.49,24788
Mononoke,2246,TV,12,8.49,88850
Shirobako,25835,TV,24,8.49,146895
Ashita no Joe 2,2921,TV,47,8.48,6259
Hunter x Hunter,136,TV,62,8.48,166255
Noragami Aragoto,30503,TV,13,8.48,299434
Sakamichi no Apollon,12531,TV,12,8.48,146592
Tonari no Totoro,523,Movie,1,8.48,271484
Ghost in the Shell: Stand Alone Complex,467,TV,26,8.47,194491
Kaze no Tani no Nausicaä,572,Movie,1,8.47,143273
No Game No Life,19815,TV,12,8.47,602291
Romeo no Aoi Sora,2559,TV,33,8.47,15074
Yuu☆Yuu☆Hakusho,392,TV,112,8.47,195017
Kino no Tabi: The Beautiful World,486,TV,13,8.46,102822
Kuroko no Basket,11771,TV,25,8.46,338315
Nodame Cantabile,1698,TV,23,8.46,157025
Ookami to Koushinryou II,5341,TV,12,8.46,210491
Shingeki no Kyojin: Kuinaki Sentaku,25781,OVA,2,8.45,92543
Steins;Gate: Oukoubakko no Poriomania,10863,Special,1,8.46,159548
Fate/stay night: Unlimited Blade Works 2nd Season,28701,TV,13,8.45,205987
Kemono no Souja Erin,5420,TV,50,8.45,36751
Kizumonogatari I: Tekketsu-hen,9260,Movie,1,8.45,99579
Neon Genesis Evangelion: The End of Evangelion,32,Movie,1,8.45,215630
Toradora!,4224,TV,25,8.45,633817
Toki wo Kakeru Shoujo,2236,Movie,1,8.44,289206
Tsubasa: Tokyo Revelations,2685,OVA,3,8.44,57963
Owarimonogatari,31181,TV,12,8.43,107855
Rurouni Kenshin: Meiji Kenkaku Romantan,45,TV,94,8.43,218928
Stranger: Mukou Hadan,2418,Movie,1,8.43,125503
Detective Conan Movie 06: The Phantom of Baker Street,1365,Movie,1,8.42,28462
Fate/stay night: Unlimited Blade Works,22297,TV,12,8.42,267484
Major S1,627,TV,26,8.42,41061
Mobile Suit Gundam: The Origin,10937,OVA,6,8.42,15420
Nanatsu no Taizai,23755,TV,24,8.42,331627
Natsume Yuujinchou,4081,TV,13,8.42,210736
One Piece Film: Strong World,4155,Movie,1,8.42,85020
Higurashi no Naku Koro ni Kai,1889,TV,24,8.41,218101
Hunter x Hunter OVA,137,OVA,8,8.41,53168
Hunter x Hunter: Greed Island Final,139,OVA,14,8.41,55787
Kuroshitsuji: Book of Murder,23317,OVA,2,8.41,67261
Major S2,558,TV,26,8.41,30689
One Outs,5040,TV,25,8.41,83056
Beck,57,TV,26,8.40,148328
Berserk,33,TV,25,8.40,226430
Cowboy Bebop: Tengoku no Tobira,5,Movie,1,8.40,137636
Major S3,1842,TV,26,8.40,29528
Mobile Suit Gundam Unicorn,6336,OVA,7,8.40,42076
Natsume Yuujinchou: Itsuka Yuki no Hi ni,20651,OVA,1,8.40,28302
NHK ni Youkoso!,1210,TV,24,8.40,291228
Rose of Versailles,338,TV,40,8.40,32188
Sakurasou no Pet na Kanojo,13759,TV,24,8.40,380375
Angel Beats!,6547,TV,13,8.39,717796
Bakemonogatari,5081,TV,15,8.39,482268
Bungou Stray Dogs 2nd Season,32867,TV,12,8.39,83641
Hajime no Ippo: Champion Road,264,Special,1,8.39,47840
One Piece Film: Z,12859,Movie,1,8.39,76051
Ouran Koukou Host Club,853,TV,26,8.39,422271
Detective Conan Movie 13: The Raven Chaser,5460,Movie,1,8.38,21798
Durarara!!,6746,TV,24,8.38,556431
Nodame Cantabile Finale,5690,TV,11,8.38,67697
Planetes,329,TV,26,8.38,105044
Shelter,34240,Music,1,8.38,71136
Tenkuu no Shiro Laputa,513,Movie,1,8.38,151061
Gintama: Shiroyasha Koutan,6945,Special,1,8.37,27213
Hachimitsu to Clover II,1142,TV,12,8.37,61493
InuYasha: Kanketsu-hen,6811,TV,26,8.37,99128
Kaguya-hime no Monogatari,16664,Movie,1,8.37,45547
Katekyo Hitman Reborn!,1604,TV,203,8.37,258103
Kuroshitsuji: Book of Circus,22145,TV,10,8.37,122895
Ookami to Koushinryou,2966,TV,13,8.37,334932
Boku no Hero Academia,31964,TV,13,8.36,282002
Gin no Saji 2nd Season,19363,TV,11,8.36,67032
Little Busters!: Refrain,18195,TV,13,8.36,71820
Major: Message,9890,OVA,1,8.36,12282
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,9130,OVA,13,8.36,27532
SKET Dance,9863,TV,77,8.36,101027
Bakuman.,7674,TV,25,8.35,246899
Danshi Koukousei no Nichijou,11843,TV,12,8.35,258914
Kotonoha no Niwa,16782,Movie,1,8.35,189741
Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,28675,Movie,1,8.35,59815
Major S4,3226,TV,26,8.35,28002
Omoide no Marnie,21557,Movie,1,8.35,53590
Working!!!: Lord of the Takanashi,31715,Special,1,8.34,31856
Ghost in the Shell,43,Movie,1,8.34,223036
K-On! Movie,9617,Movie,1,8.34,115252
Kuroko no Basket: Saikou no Present Desu,31051,Special,1,8.34,22900
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,10153,Movie,1,8.34,13315
Sennen Joyuu,1033,Movie,1,8.34,58492
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,32188,Special,1,8.34,38147
xxxHOLiC Kei,3091,TV,13,8.34,74941
Berserk: Ougon Jidai-hen III - Kourin,12115,Movie,1,8.33,65594
Death Parade,28223,TV,12,8.33,383914
Fullmetal Alchemist,121,TV,51,8.33,600384
Gyakkyou Burai Kaiji: Ultimate Survivor,3002,TV,26,8.33,98996
Hunter x Hunter: Greed Island,138,OVA,8,8.33,57029
Redline,6675,Movie,1,8.33,109392
Chihayafuru,10800,TV,25,8.32,158561
Detective Conan Movie 20: The Darkest Nightmare,32005,Movie,1,8.32,6229
Dragon Ball Z,813,TV,291,8.32,375662
Fate/stay night: Unlimited Blade Works - Prologue,27821,Special,1,8.32,106382
Kokoro ga Sakebitagatterunda.,28725,Movie,1,8.32,59652
Mimi wo Sumaseba,585,Movie,1,8.32,94435
Nagi no Asukara,16067,TV,26,8.32,224947
Neon Genesis Evangelion,30,TV,26,8.32,461946
One Piece Film: Gold,31490,Movie,1,8.32,18642
Tokyo Godfathers,759,Movie,1,8.32,89424
Trigun,6,TV,26,8.32,283069
xxxHOLiC Rou,6864,OVA,2,8.32,36353
Gintama: Shinyaku Benizakura-hen,9735,Special,1,8.31,14002
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,11977,Movie,1,8.31,88164
Sekaiichi Hatsukoi 2,11123,TV,12,8.31,69253
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,23847,TV,13,8.31,222994
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,33161,OVA,1,8.31,35120
Aria The Natural,962,TV,26,8.30,39596
Black Lagoon: The Second Barrage,1519,TV,12,8.30,203233
Clannad,2167,TV,23,8.30,566690
Kami nomi zo Shiru Sekai: Megami-hen,16706,TV,12,8.30,142612
Summer Wars,5681,Movie,1,8.30,223359
Baccano! Specials,3901,Special,3,8.29,100412
Detective Conan Movie 14: The Lost Ship in the Sky,6467,Movie,1,8.29,20602
Gyakkyou Burai Kaiji: Hakairoku-hen,10271,TV,26,8.29,55566
Initial D Final Stage,22507,TV,4,8.29,19702
Kaiba,3701,TV,12,8.29,56927
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,19123,Special,1,8.29,17247
Saiki Kusuo no Ψ-nan (TV),33255,TV,120,8.29,47092
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,372,Movie,1,8.28,60637
Hajime no Ippo: Mashiba vs. Kimura,265,OVA,1,8.28,40623
Kamisama Hajimemashita◎,25681,TV,12,8.28,91796
Skip Beat!,4722,TV,25,8.28,134818
Yowamushi Pedal: Grande Road,24277,TV,24,8.28,50778
Gankutsuou,239,TV,24,8.27,103828
Majo no Takkyuubin,512,Movie,1,8.27,152331
Nodame Cantabile: Paris-hen,4477,TV,11,8.27,70822
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,15323,Special,1,8.27,24707
Osomatsu-san,31174,TV,25,8.27,60988
Space☆Dandy 2nd Season,23327,TV,13,8.27,60918
Tsumiki no Ie,5365,Movie,1,8.27,45189
Detroit Metal City,3702,OVA,12,8.26,104893
Eve no Jikan,3167,ONA,6,8.26,99074
Eve no Jikan (Movie),7465,Movie,1,8.26,66376
Kaichou wa Maid-sama!,7054,TV,26,8.26,391628
Saint Seiya: Meiou Hades Juuni Kyuu-hen,1257,OVA,13,8.26,23701
Zankyou no Terror,23283,TV,11,8.26,342893
Darker than Black: Kuro no Keiyakusha,2025,TV,25,8.25,440334
Detective Conan,235,TV,Unknown,8.25,114702
Detective Conan Movie 05: Countdown to Heaven,1364,Movie,1,8.25,25432
Diamond no Ace,18689,TV,75,8.25,81384
Fairy Tail (2014),22043,TV,102,8.25,255076
Hibike! Euphonium 2,31988,TV,13,8.25,47716
JoJo no Kimyou na Bouken: Stardust Crusaders,20899,TV,24,8.25,120089
Maison Ikkoku,1453,TV,96,8.25,22079
Non Non Biyori Repeat,23623,TV,12,8.26,64230
Shijou Saikyou no Deshi Kenichi,1559,TV,50,8.25,129112
Yuusha-Ou GaoGaiGar Final,1382,OVA,8,8.25,5001
Gekkan Shoujo Nozaki-kun,23289,TV,12,8.24,292622
Initial D Fourth Stage,18,TV,24,8.24,41584
Junjou Romantica 2,4814,TV,12,8.24,87617
Kaze Tachinu,16662,Movie,1,8.24,75359
Kingdom,12031,TV,38,8.24,54211
Kuragehime,8129,TV,11,8.24,108053
Magi: The Labyrinth of Magic,14513,TV,25,8.24,317513
Mobile Suit Gundam 00,2581,TV,25,8.24,120351
ReLIFE,30015,TV,13,8.24,202249
Saint Seiya: The Lost Canvas - Meiou Shinwa,6171,OVA,13,8.24,40355
Seirei no Moribito,1827,TV,26,8.24,106888
Akatsuki no Yona,25013,TV,24,8.23,216674
Detective Conan Movie 08: Magician of the Silver Sky,1367,Movie,1,8.23,23130
Durarara!!x2 Ketsu,27833,TV,12,8.23,115295
Free!: Eternal Summer Special,26213,Special,1,8.23,36091
Glass no Kamen (2005),1974,TV,51,8.23,17038
Gosick,8425,TV,24,8.23,232113
Hajime no Ippo: Boxer no Kobushi,12069,Special,1,8.23,20157
Initial D First Stage,185,TV,26,8.23,68128
Kill la Kill,18679,TV,24,8.23,508118
Lovely★Complex,2034,TV,24,8.23,235003
Perfect Blue,437,Movie,1,8.23,117565
Princess Tutu,721,TV,38,8.23,73218
Sakasama no Patema,12477,Movie,1,8.23,89749
Tsubasa: Shunraiki,4938,OVA,2,8.23,40420
Ashita no Joe,2402,TV,79,8.22,15442
Fairy Tail,6702,TV,175,8.22,584590
Ghost in the Shell: Stand Alone Complex - Solid State Society,1566,Special,1,8.22,55247
Magi: Sinbad no Bouken (TV),31741,TV,13,8.22,73480
Shoujo Kakumei Utena,440,TV,39,8.22,77464
Tengen Toppa Gurren Lagann Movie: Gurren-hen,4107,Movie,1,8.22,72933
Detective Conan Movie 10: Requiem of the Detectives,1506,Movie,1,8.21,21789
Evangelion: 1.0 You Are (Not) Alone,2759,Movie,1,8.21,194561
Full Metal Panic? Fumoffu,72,TV,12,8.21,171086
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,3016,Movie,1,8.21,11808
Kara no Kyoukai 3: Tsuukaku Zanryuu,3783,Movie,1,8.21,108720
Mobile Suit Gundam 00 Second Season,3927,TV,25,8.21,86972
Nisemonogatari,11597,TV,11,8.21,260062
Tsukimonogatari,28025,TV,4,8.21,111009
Ansatsu Kyoushitsu (TV),24833,TV,22,8.20,312654
Aria The Avvenire,29893,Special,3,8.20,9500
Baby Steps 2nd Season,27663,TV,25,8.20,36251
D.Gray-man,1482,TV,103,8.20,334399
Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi  Senoku no Hikari,3371,OVA,24,8.20,8621
Gintama: Jump Festa 2014 Special,25313,Special,1,8.20,13764
Lupin III: Cagliostro no Shiro,1430,Movie,1,8.20,32732
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,33051,TV,25,8.20,21210
Ookiku Furikabutte: Natsu no Taikai-hen,7720,TV,13,8.20,22190
Saiunkoku Monogatari 2nd Season,1914,TV,39,8.20,23160
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,20371,Movie,1,8.20,23045
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,15039,Movie,1,8.19,95241
Dennou Coil,2164,TV,26,8.19,76860
Eureka Seven,237,TV,50,8.19,239570
Ghost in the Shell: Stand Alone Complex - The Laughing Man,2449,Special,1,8.19,21435
Gintama: Dai Hanseikai,10643,Special,1,8.19,14728
Hidamari Sketch: Sae Hiro Sotsugyou-hen,17739,OVA,2,8.19,5959
Hikaru no Go,135,TV,75,8.19,69000
Kimi ni Todoke,6045,TV,25,8.19,309339
Kokoro Connect: Michi Random,16001,Special,4,8.19,106989
Tokyo Magnitude 8.0,6211,TV,11,8.19,121349
Cardcaptor Sakura,232,TV,70,8.18,181249
ef: A Tale of Melodies.,4789,TV,12,8.18,103657
Gin no Saji,16918,TV,11,8.18,116261
Hachimitsu to Clover,16,TV,24,8.18,130646
Kodomo no Omocha (TV),1486,TV,102,8.18,27893
Love Live! The School Idol Movie,24997,Movie,1,8.18,38118
Mahoutsukai no Yome: Hoshi Matsu Hito,32902,OVA,3,8.18,43372
Sekaiichi Hatsukoi OVA,8063,OVA,2,8.18,35225
Working!!!,25879,TV,13,8.18,80763
Black Lagoon,889,TV,12,8.17,332562
Detective Conan Movie 18: The Sniper from Another Dimension,21419,Movie,1,8.17,12151
Final Fantasy VII: Advent Children Complete,2952,OVA,1,8.17,77111
Higurashi no Naku Koro ni,934,TV,26,8.17,359494
Hyouka,12189,TV,22,8.17,372246
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,731,Music,1,8.17,31464
Kanon (2006),1530,TV,24,8.17,163171
Kimi ni Todoke 2nd Season,9656,TV,12,8.17,171866
Noragami,20507,TV,12,8.17,515378
Persona 3 the Movie 4: Winter of Rebirth,31149,Movie,1,8.17,13359
xxxHOLiC Shunmuki,4918,OVA,2,8.17,40401
Zetsuen no Tempest,14075,TV,24,8.17,259900
Aria The Origination: Sono Choppiri Himitsu no Basho ni...,4772,Special,1,8.16,11961
Detective Conan Movie 03: The Last Wizard of the Century,781,Movie,1,8.16,26799
Detective Conan Movie 04: Captured in Her Eyes,1363,Movie,1,8.16,25461
Dragon Ball,223,TV,153,8.16,316102
Hanada Shounen-shi,2004,TV,25,8.16,6321
Junjou Romantica 3,25649,TV,12,8.16,39866
Juuni Kokuki,153,TV,45,8.16,66646
Major Movie: Yuujou no Winning Shot,5029,Movie,1,8.16,9943
Mirai Shounen Conan,302,TV,26,8.16,15557
One Piece Film: Strong World Episode 0,8740,OVA,1,8.16,33862
Phantom: Requiem for the Phantom,5682,TV,26,8.16,159105
Tamako Love Story,21647,Movie,1,8.16,72708
Toaru Kagaku no Railgun S,16049,TV,24,8.16,137105
Touch,1065,TV,101,8.16,12833
Yowamushi Pedal,18179,TV,38,8.16,91138
Akira,47,Movie,1,8.15,215897
Black Lagoon: Roberta&#039;s Blood Trail,4901,OVA,5,8.15,108099
Durarara!!x2 Shou,23199,TV,12,8.15,189407
Gintama: Jump Festa 2015 Special,32122,Special,1,8.15,7923
High☆Speed!: Free! Starting Days,30415,Movie,1,8.15,24310
Kyou kara Ore wa!!,851,OVA,10,8.15,7954
Nurarihyon no Mago: Sennen Makyou,10049,TV,24,8.15,75612
Paprika,1943,Movie,1,8.15,163308
Prince of Tennis: The National Tournament Finals,4053,OVA,7,8.15,21020
School Rumble Ni Gakki,846,TV,26,8.15,93095
Sekaiichi Hatsukoi,9926,TV,12,8.15,94820
Akagami no Shirayuki-hime 2nd Season,31173,TV,12,8.14,80862
Clannad: Mou Hitotsu no Sekai  Tomoyo-hen,4059,Special,1,8.14,160423
Ginga Nagareboshi Gin,589,TV,21,8.14,10575
Initial D Fifth Stage,15059,TV,14,8.14,26711
K-On!!,7791,TV,26,8.14,246276
Log Horizon,17265,TV,25,8.14,387100
Sekaiichi Hatsukoi: Valentine-hen,20815,Movie,1,8.14,13454
Slayers Next,535,TV,26,8.14,39832
Aria The OVA: Arietta,2563,OVA,1,8.13,20629
Detective Conan Movie 15: Quarter of Silence,9963,Movie,1,8.13,17165
Digimon Adventure tri. 3: Kokuhaku,32551,Movie,1,8.13,20989
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,2951,Special,1,8.13,29331
Igano Kabamaru,2762,TV,24,8.13,5063
Kamisama Hajimemashita,14713,TV,13,8.13,189641
Kara no Kyoukai: Mirai Fukuin,14807,Movie,1,8.13,41168
Mobile Suit Gundam: The 08th MS Team,81,OVA,12,8.13,34177
Omae Umasou da na,9204,Movie,1,8.13,6645
Ushio to Tora (TV) 2nd Season,31098,TV,13,8.13,43916
Wolf&#039;s Rain OVA,1023,OVA,4,8.13,37679
Ajin 2nd Season,33253,TV,13,8.12,51382
Aoki Hagane no Arpeggio: Ars Nova Cadenza,24921,Movie,1,8.12,12353
City Hunter 2,1471,TV,63,8.12,8199
Durarara!!x2 Ten,27831,TV,12,8.12,132506
ef: A Tale of Memories.,2924,TV,12,8.12,151106
Ghost in the Shell 2.0,4672,Movie,1,8.12,51789
Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,2448,Special,1,8.12,16614
Ginga Sengoku Gunyuuden Rai,3907,TV,52,8.12,5308
Initial D Second Stage,186,TV,13,8.12,45825
Kami nomi zo Shiru Sekai II,10080,TV,12,8.12,194300
Noragami Aragoto OVA,30885,OVA,2,8.12,58075
Stand By Me Doraemon,21469,Movie,1,8.12,5712
Tiger &amp; Bunny,9941,TV,25,8.12,104075
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,14813,TV,13,8.12,353876
Fullmetal Alchemist: Brotherhood Specials,6421,Special,4,8.11,67962
Hanamonogatari,21855,TV,5,8.11,124886
Kimi to Boku. 2,11739,TV,13,8.11,44564
Ookiku Furikabutte,2159,TV,25,8.11,49599
Ore Monogatari!!,28297,TV,24,8.11,200833
Tamayura: Sotsugyou Shashin Part 4 - Ashita,29831,Movie,1,8.10,3187
Tekkon Kinkreet,2154,Movie,1,8.11,46018
There She Is!!,6505,ONA,5,8.11,13935
xxxHOLiC,861,TV,24,8.11,150872
Byousoku 5 Centimeter,1689,Movie,3,8.10,324035
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,34103,Special,1,8.10,29969
Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu,3665,OVA,28,8.10,7712
Hyouge Mono,9996,TV,39,8.10,10649
Karigurashi no Arrietty,7711,Movie,1,8.10,97910
Mahou Shoujo Lyrical Nanoha A&#039;s,77,TV,13,8.10,41685
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,401,OVA,2,8.10,49454
Tanaka-kun wa Itsumo Kedaruge,32093,TV,12,8.10,101335
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,12113,Movie,1,8.09,66721
Darker than Black: Kuro no Keiyakusha Gaiden,7338,Special,4,8.09,136135
Elsword: El Lady,32613,ONA,12,8.11,3846
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,3014,Movie,1,8.09,15069
Hikaru no Go: Journey to the North Star Cup,645,Special,1,8.09,13901
Hybrid Child,11135,OVA,4,8.09,26036
Isekai no Seikishi Monogatari,5781,OVA,13,8.09,72021
Junjou Romantica OVA,13767,OVA,2,8.09,23192
Kobato.,5678,TV,24,8.09,88986
Kuuchuu Buranko,6774,TV,11,8.09,41521
Macross: Do You Remember Love?,1089,Movie,1,8.09,19240
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,25161,Special,1,8.09,30516
Prince of Tennis: The National Tournament,995,OVA,13,8.09,25170
Prince of Tennis: The National Tournament Semifinals,2752,OVA,6,8.09,21186
Eyeshield 21,15,TV,145,8.08,83648
Full Moon wo Sagashite,122,TV,52,8.08,59374
Grisaia no Rakuen,29095,TV,10,8.08,111962
Jigoku Shoujo Futakomori,1594,TV,26,8.08,79816
Junjou Romantica,3092,TV,12,8.08,117910
Mawaru Penguindrum,10721,TV,24,8.08,156689
SKET Dance OVA,16395,OVA,1,8.08,11342
Soul Eater,3588,TV,51,8.08,580184
Trigun: Badlands Rumble,4106,Movie,1,8.08,68181
Haibane Renmei,387,TV,13,8.07,120731
Kuroko no Basket: Tip Off,16916,Special,1,8.07,41760
Macross,1088,TV,36,8.07,44157
Mirai Nikki (TV),10620,TV,26,8.07,657190
Saiyuuki Reload: Burial,2143,OVA,3,8.07,6554
Tentai Senshi Sunred 2nd Season,6582,TV,26,8.07,4584
Terra e... (TV),2158,TV,24,8.07,36941
Tokyo Ghoul,22319,TV,12,8.07,618056
Usagi Drop Specials,11113,Special,4,8.07,36351
Yume-iro Pâtissière,6586,TV,50,8.07,36921
Azumanga Daioh,66,TV,26,8.06,170901
Colorful (Movie),8142,Movie,1,8.06,63263
Detective Conan OVA 09: The Stranger in 10 Years...,6438,OVA,1,8.06,9649
Drifters: Special Edition,33032,OVA,1,8.06,9807
